product_id,product_name,main_category,discounted_price,actual_price,discount_percentage,rating,rating_count,estimated_revenue,price_tier,discount_range,rating_category,value_score,savings_amount
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories,6.08,14.5,58.0,4.1,8131.0,49436.48,Budget,40-60%,High-Rated,0.6743,8.42
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",Computers&Accessories,8.99,16.07,44.0,4.2,179692.0,1615431.08,Budget,40-60%,High-Rated,0.4672,7.08
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,Electronics,4.79,5.99,20.0,4.3,27201.0,130292.79,Budget,0-25%,High-Rated,0.8977,1.2
B003L62T7W,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",Computers&Accessories,3.35,4.5,26.0,4.3,31534.0,105638.9,Budget,25-40%,High-Rated,1.2836,1.15
B004IO5BMQ,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",Computers&Accessories,8.39,11.94,30.0,4.5,54405.0,456457.95,Budget,25-40%,Excellent,0.5364,3.55
B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,Computers&Accessories,3.47,7.8,56.0,4.3,253105.0,878274.35,Budget,40-60%,High-Rated,1.2392,4.33
B005LJQMCK,"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",Electronics,4.99,7.19,31.0,4.2,30023.0,149814.77,Budget,25-40%,High-Rated,0.8417,2.2
B005LJQMZC,"BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)",Electronics,5.83,23.99,76.0,4.2,30023.0,175034.09,Budget,60%+,High-Rated,0.7204,18.16
B006LW0WDQ,Amazon Basics 16-Gauge Speaker Wire - 50 Feet,Electronics,4.79,9.54,50.0,4.4,12091.0,57915.89,Budget,40-60%,High-Rated,0.9186,4.75
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),Home&Kitchen,17.99,17.99,0.0,4.3,9331.0,167864.69,Economy,0-25%,High-Rated,0.239,0.0
B0083T231O,Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey),Electronics,15.47,17.99,14.0,4.5,20668.0,319733.96,Economy,0-25%,Excellent,0.2909,2.52
B0085IATT6,"D-Link DIR-615 Wi-fi Ethernet-N300 Single_band 300Mbps Router, Mobile App Support, Router | AP | Repeater | Client Modes(Black)",Computers&Accessories,10.79,21.6,50.0,4.1,22375.0,241426.25,Economy,40-60%,High-Rated,0.38,10.81
B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),Home&Kitchen,9.18,11.64,21.0,4.2,6055.0,55584.9,Budget,0-25%,High-Rated,0.4575,2.46
B0088TKTY2,"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",Computers&Accessories,7.79,16.79,54.0,4.2,179691.0,1399792.89,Budget,40-60%,High-Rated,0.5392,9.0
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,7.19,7.19,0.0,4.3,355.0,2552.45,Budget,0-25%,High-Rated,0.5981,0.0
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories,5.99,11.99,50.0,4.2,179691.0,1076349.09,Budget,40-60%,High-Rated,0.7012,6.0
B008LN8KDM,Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron,Home&Kitchen,22.19,25.14,12.0,4.3,7681.0,170441.39,Economy,0-25%,High-Rated,0.1938,2.95
B008P7IF02,Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black),Home&Kitchen,57.59,69.54,17.0,3.9,3815.0,219705.85,Mid-Range,0-25%,Average,0.0677,11.95
B008QS9J6Y,"Logitech C270 Digital HD Webcam with Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, for Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/MacBook/Tablet - (Black, HD 720p/30fps)",Computers&Accessories,23.88,31.14,23.0,4.3,20398.0,487104.24,Economy,0-25%,High-Rated,0.1801,7.26
B008QTK47Q,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),Home&Kitchen,19.37,20.94,8.0,4.3,37974.0,735556.38,Economy,0-25%,High-Rated,0.222,1.57
B008YW3CYM,USHA EI 1602 1000 W Lightweight Dry Iron with Non-Stick Soleplate (Multi-colour),Home&Kitchen,7.39,14.28,48.0,4.1,37126.0,274361.14,Budget,40-60%,High-Rated,0.5548,6.89
B008YW8M0G,"Bajaj DX-7 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",Home&Kitchen,9.3,10.5,11.0,4.2,46647.0,433817.1,Budget,0-25%,High-Rated,0.4516,1.2
B00935MD1C,"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans - 1.8 Liters, White",Home&Kitchen,32.63,47.34,31.0,3.7,13406.0,437437.78,Economy,25-40%,Average,0.1134,14.71
B00935MGHS,"Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black",Home&Kitchen,14.39,21.54,33.0,4.2,5967.0,85865.13,Economy,25-40%,High-Rated,0.2919,7.15
B009DA69W6,KENT Gold Optima Gravity Water Purifier (11016) | UF Technology Based | Non-Electric & Chemical Free | Counter Top | 10L Storage | White,Home&Kitchen,20.39,22.8,11.0,3.6,11456.0,233587.84,Economy,0-25%,Average,0.1766,2.41
B009LJ2BXA,"Hp Wired On Ear Headphones With Mic With 3.5 Mm Drivers, In-Built Noise Cancelling, Foldable And Adjustable For Laptop/Pc/Office/Home/ 1 Year Warranty (B4B09Pa)",Computers&Accessories,7.79,11.99,35.0,3.5,7222.0,56259.38,Budget,25-40%,Average,0.4493,4.2
B009P2L7CO,"Bajaj DHX-9 1000W Heavy Weight Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, Ivory",Home&Kitchen,13.19,23.04,43.0,4.2,9772.0,128892.68,Economy,40-60%,High-Rated,0.3184,9.85
B009P2LIL4,"Bajaj Majesty RX10 2000 Watts Heat Convector Room Heater (White, ISI Approved)",Home&Kitchen,26.63,36.96,28.0,3.6,468.0,12462.84,Economy,25-40%,Average,0.1352,10.33
B009P2LITG,"Bajaj Majesty RX11 2000 Watts Heat Convector Room Heater (White, ISI Approved)",Home&Kitchen,26.03,39.35,34.0,4.1,1716.0,44667.48,Economy,25-40%,High-Rated,0.1575,13.32
B009P2LK08,"Bajaj Minor 1000 Watts Radiant Room Heater (Steel, ISI Approved)",Home&Kitchen,8.99,13.55,34.0,4.0,2446.0,21989.54,Budget,25-40%,High-Rated,0.4449,4.56
B009P2LK80,"Bajaj Deluxe 2000 Watts Halogen Room Heater (Steel, ISI Approved), Multicolor",Home&Kitchen,16.91,19.67,14.0,3.7,787.0,13308.17,Economy,0-25%,Average,0.2188,2.76
B009UORDX4,"Philips Hi113 1000-Watt Plastic Body Ptfe Coating Dry Iron, Pack of 1",Home&Kitchen,11.39,11.7,3.0,4.3,7223.0,82269.97,Economy,0-25%,High-Rated,0.3775,0.31
B009VCGPSY,"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces (H2C21AA, Black/Grey)",Computers&Accessories,3.23,7.79,59.0,4.3,54315.0,175437.45,Budget,40-60%,High-Rated,1.3313,4.56
B00A0VCJPI,"TP-Link TL-WA850RE Single_Band 300Mbps RJ45 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port, Plug and Play, Built-in Access Point Mode, White",Computers&Accessories,17.63,29.99,41.0,4.2,156638.0,2761527.94,Economy,40-60%,High-Rated,0.2382,12.36
B00A328ENA,"Panasonic SR-WA22H (E) Automatic Rice Cooker, Apple Green, 2.2 Liters",Home&Kitchen,35.71,47.34,25.0,4.2,3740.0,133555.4,Economy,25-40%,High-Rated,0.1176,11.63
B00A7PLVU6,Orpat HHB-100E WOB 250-Watt Hand Blender (White),Home&Kitchen,9.04,10.79,16.0,4.2,18462.0,166896.48,Budget,0-25%,High-Rated,0.4646,1.75
B00ABMASXG,"Bajaj Immersion Rod Water Heater 1500 Watts, Silver",Home&Kitchen,6.47,8.64,25.0,4.1,36017.0,233029.99,Budget,25-40%,High-Rated,0.6337,2.17
B00AXHBBXU,"Casio FX-82MS 2nd Gen Non-Programmable Scientific Calculator, 240 Functions and 2-line Display, Black",OfficeProducts,6.26,6.6,5.0,4.4,12179.0,76240.54,Budget,0-25%,High-Rated,0.7029,0.34
B00B3VFJY2,"HUL Pureit Germkill kit for Advanced 23 L water purifier - 3000 L Capacity, Sand, Multicolour",Home&Kitchen,11.76,11.76,0.0,4.2,4740.0,55742.4,Economy,0-25%,High-Rated,0.3571,0.0
B00B7GKXMG,Wipro Smartlife Super Deluxe Dry Iron- 1000W,Home&Kitchen,8.39,10.2,18.0,4.1,1106.0,9279.34,Budget,0-25%,High-Rated,0.4887,1.81
B00BN5SNF0,"ENVIE (AA10004PLNi-CD) AA Rechargeable Batteries, Low Self Discharge, AA 1000mAh Ni-CD (Pack of 4)",Electronics,3.0,3.0,0.0,3.9,13971.0,41913.0,Budget,0-25%,Average,1.3,0.0
B00C3GBCIS,GIZGA Club-laptop Neoprene Reversible for 15.6-inches Laptop Sleeve - Black-Red,Computers&Accessories,2.99,5.99,50.0,4.2,22860.0,68351.4,Budget,40-60%,High-Rated,1.4047,3.0
